"Age_Group","Gender","Income_Level","Political_Affiliation","Geographic_Area","Financial_Status","State_Economic_Outlook"
"AGE2","GENDER1","INC2","POL1","AREA1","FIN1","STAT0"
"AGE1","GENDER0","INC2","POL3","AREA1","FIN2","STAT1"
"AGE1","GENDER1","INC3","POL1","AREA1","FIN2","STAT0"
"AGE1","GENDER1","INC3","POL3","AREA1","FIN3","STAT1"
"AGE2","GENDER0","INC3","POL2","AREA1","FIN3","STAT1"
"AGE1","GENDER1","INC2","POL3","AREA2","FIN3","STAT0"
"AGE2","GENDER0","INC3","POL1","AREA1","FIN1","STAT0"
"AGE1","GENDER1",NA,"POL1","AREA1","FIN3","STAT1"
"AGE1","GENDER1","INC2","POL1","AREA3","FIN3",NA
"AGE2","GENDER1",NA,"POL3","AREA3","FIN3",NA
"AGE1","GENDER1","INC2","POL2","AREA1","FIN1","STAT0"
"AGE2","GENDER1","INC1","POL1","AREA1","FIN1","STAT0"
"AGE3","GENDER1",NA,"POL1","AREA1","FIN2","STAT1"
"AGE1","GENDER0","INC3","POL1","AREA1","FIN1","STAT0"
"AGE2","GENDER1","INC2","POL1","AREA1","FIN3","STAT1"
"AGE1","GENDER0","INC3","POL2","AREA1","FIN1","STAT1"
"AGE3","GENDER0","INC2","POL1","AREA2","FIN1","STAT0"
"AGE3","GENDER0","INC2","POL2","AREA2","FIN1","STAT0"
"AGE1","GENDER1","INC1","POL1","AREA1","FIN1","STAT0"
"AGE2","GENDER0","INC3","POL2","AREA2","FIN2","STAT0"
"AGE3","GENDER0","INC2","POL1","AREA3","FIN2","STAT0"
"AGE3","GENDER1","INC1","POL1","AREA3","FIN2","STAT1"
"AGE3","GENDER1","INC1","POL1","AREA3","FIN1","STAT0"
"AGE3","GENDER1",NA,"POL2","AREA3","FIN2",NA
"AGE3","GENDER1","INC1","POL3","AREA3","FIN3",NA
"AGE1","GENDER1","INC3","POL1","AREA1","FIN3","STAT1"
"AGE2","GENDER0","INC3","POL3","AREA2","FIN3","STAT0"
"AGE3","GENDER1","INC2","POL3","AREA3","FIN2","STAT1"
"AGE2","GENDER0","INC3","POL3","AREA3","FIN1","STAT0"
"AGE3","GENDER1","INC2","POL2","AREA2","FIN2","STAT0"
"AGE3","GENDER1","INC2","POL1","AREA1","FIN3","STAT1"
"AGE3","GENDER0","INC2","POL3","AREA3","FIN3","STAT1"
"AGE2","GENDER0","INC3","POL2","AREA2","FIN1","STAT0"
"AGE3","GENDER0","INC3","POL3","AREA2","FIN2","STAT0"
"AGE2","GENDER1","INC3","POL3","AREA2","FIN3","STAT0"
"AGE1","GENDER0","INC1","POL1","AREA2","FIN1","STAT0"
"AGE3","GENDER1",NA,NA,"AREA1","FIN1","STAT0"
"AGE1","GENDER1","INC1",NA,"AREA1","FIN1","STAT0"
"AGE2","GENDER1","INC2","POL3","AREA1","FIN3","STAT0"
"AGE2","GENDER1","INC3","POL1","AREA1","FIN2","STAT0"
"AGE3","GENDER0","INC3","POL3","AREA2","FIN1","STAT0"
"AGE3","GENDER1","INC1","POL2","AREA3","FIN2","STAT0"
"AGE3","GENDER1",NA,"POL2","AREA1","FIN2","STAT0"
"AGE1","GENDER0","INC2","POL3","AREA3","FIN2",NA
"AGE1","GENDER1","INC2","POL1","AREA2","FIN1","STAT0"
"AGE1","GENDER1",NA,NA,"AREA1","FIN2",NA
"AGE2","GENDER1","INC3","POL1","AREA1","FIN2","STAT0"
"AGE2","GENDER0","INC3","POL1","AREA3","FIN2","STAT1"
NA,"GENDER1","INC1","POL1","AREA1","FIN1","STAT0"
"AGE1","GENDER1","INC1","POL3","AREA2","FIN3","STAT0"
"AGE2","GENDER0","INC3","POL1","AREA2","FIN1","STAT0"
"AGE2","GENDER1","INC3","POL1","AREA1","FIN2","STAT0"
"AGE2","GENDER0","INC2","POL2","AREA3","FIN2","STAT0"
"AGE2","GENDER0",NA,"POL2","AREA3","FIN1","STAT0"
"AGE3","GENDER1","INC1","POL1","AREA1","FIN2","STAT0"
"AGE2","GENDER0","INC2","POL2","AREA3","FIN2","STAT0"
"AGE2","GENDER0","INC1","POL3","AREA2","FIN2",NA
"AGE2","GENDER0","INC2","POL2","AREA2","FIN2","STAT0"
"AGE2","GENDER1","INC2","POL3","AREA2","FIN3","STAT0"
"AGE3","GENDER0","INC3","POL1","AREA3","FIN2","STAT0"
"AGE1","GENDER1","INC2","POL1","AREA1","FIN1","STAT1"
"AGE3","GENDER0","INC2","POL1","AREA1","FIN1","STAT0"
"AGE1","GENDER1","INC2","POL3","AREA3","FIN1","STAT0"
"AGE3","GENDER1","INC1","POL1","AREA1","FIN2",NA
"AGE1","GENDER1","INC2","POL3","AREA3","FIN3","STAT1"
"AGE2","GENDER1","INC2","POL2","AREA3","FIN1","STAT0"
"AGE1","GENDER0","INC2","POL1","AREA2","FIN1","STAT1"
"AGE3","GENDER1","INC2","POL2","AREA2","FIN2","STAT0"
"AGE3","GENDER1","INC2","POL1","AREA1","FIN1","STAT0"
"AGE3","GENDER0","INC2","POL2","AREA3","FIN1","STAT1"
"AGE3","GENDER1","INC3","POL1","AREA2","FIN2","STAT0"
"AGE1","GENDER0","INC1","POL3","AREA2","FIN3","STAT1"
"AGE3","GENDER0","INC2","POL2","AREA2","FIN1","STAT0"
"AGE3","GENDER1","INC2","POL1","AREA3","FIN3","STAT0"
"AGE1","GENDER1","INC1",NA,"AREA3","FIN1","STAT0"
"AGE2","GENDER0","INC3","POL1","AREA3","FIN1","STAT1"
"AGE3","GENDER0","INC2","POL3","AREA1","FIN3","STAT1"
"AGE3","GENDER0","INC2","POL2","AREA3","FIN3","STAT1"
"AGE1","GENDER1","INC2","POL3","AREA2","FIN3","STAT1"
"AGE3","GENDER0","INC3","POL1","AREA3","FIN2","STAT0"
"AGE3","GENDER1","INC1","POL1","AREA2","FIN1","STAT0"
"AGE1","GENDER1","INC3","POL1","AREA1","FIN3",NA
"AGE1","GENDER1","INC2","POL1","AREA2","FIN3","STAT1"
"AGE3","GENDER1","INC2","POL1","AREA3","FIN2",NA
"AGE1","GENDER1","INC1","POL3","AREA3","FIN3","STAT1"
"AGE3","GENDER1",NA,"POL1","AREA1","FIN1",NA
"AGE2","GENDER1","INC2","POL1","AREA2","FIN3",NA
"AGE3","GENDER0","INC2","POL3","AREA3","FIN2","STAT1"
"AGE3","GENDER1",NA,"POL3","AREA3","FIN2",NA
"AGE1","GENDER1","INC2","POL1","AREA3","FIN1","STAT0"
"AGE2","GENDER0","INC3","POL1","AREA1","FIN1","STAT0"
"AGE3","GENDER0","INC2","POL1","AREA2","FIN2","STAT0"
"AGE1","GENDER0","INC3","POL3","AREA3","FIN3","STAT0"
"AGE2","GENDER0","INC2","POL2","AREA1","FIN2",NA
"AGE2","GENDER0","INC3","POL3","AREA2","FIN3","STAT1"
"AGE1","GENDER0","INC1","POL3","AREA1","FIN3","STAT1"
"AGE2","GENDER0","INC3","POL3","AREA1","FIN2",NA
"AGE2","GENDER0","INC3","POL1","AREA3","FIN2",NA
"AGE2","GENDER0","INC3","POL3","AREA3","FIN3","STAT1"
"AGE2","GENDER0","INC2","POL3","AREA1","FIN3","STAT1"
"AGE1","GENDER1","INC3","POL1","AREA2","FIN3","STAT1"
"AGE2","GENDER0","INC2","POL1","AREA1","FIN1","STAT0"
"AGE1","GENDER0","INC1","POL1","AREA3","FIN3","STAT1"
"AGE2","GENDER0","INC3","POL3","AREA3","FIN2","STAT1"
"AGE3","GENDER1","INC1","POL1","AREA1","FIN2","STAT0"
"AGE3","GENDER0","INC2","POL3","AREA1","FIN1","STAT0"
"AGE2","GENDER0","INC2","POL3","AREA1","FIN1","STAT1"
"AGE3","GENDER0","INC2","POL3","AREA3","FIN3","STAT0"
"AGE2","GENDER0","INC3","POL3","AREA2","FIN2","STAT1"
"AGE1","GENDER1",NA,"POL1","AREA1","FIN3",NA
"AGE1","GENDER1","INC2","POL2","AREA1","FIN1","STAT0"
"AGE2","GENDER1","INC1","POL1","AREA1","FIN3","STAT0"
"AGE2","GENDER1","INC1","POL1","AREA3","FIN1","STAT0"
"AGE2","GENDER1","INC1","POL2","AREA2","FIN2","STAT0"
"AGE2","GENDER0","INC2","POL2","AREA2","FIN1","STAT0"
"AGE1","GENDER1","INC3","POL3","AREA2","FIN1","STAT0"
"AGE2","GENDER0","INC3","POL3","AREA3","FIN3",NA
"AGE3","GENDER0","INC3","POL1","AREA1","FIN2","STAT0"
"AGE3","GENDER1","INC2","POL3","AREA2","FIN1","STAT1"
"AGE1","GENDER0","INC1","POL1","AREA3","FIN2","STAT1"
"AGE2","GENDER1","INC3","POL2","AREA3","FIN3","STAT0"
"AGE1","GENDER0","INC2","POL2","AREA1","FIN2","STAT0"
"AGE1","GENDER0","INC3","POL3","AREA2","FIN2","STAT0"
"AGE3","GENDER0","INC2","POL1","AREA3","FIN2","STAT0"
"AGE1","GENDER1","INC3","POL3","AREA2","FIN3","STAT0"
"AGE2","GENDER0","INC3","POL2","AREA3","FIN2","STAT0"
"AGE3","GENDER1","INC2","POL2","AREA2","FIN3","STAT0"
"AGE3","GENDER1","INC1","POL3","AREA2","FIN1","STAT0"
"AGE1","GENDER1","INC2","POL2","AREA1","FIN2","STAT0"
"AGE1","GENDER1","INC2","POL3","AREA2","FIN3",NA
"AGE1","GENDER1","INC1","POL2","AREA3","FIN2","STAT1"
"AGE2","GENDER1","INC1","POL1","AREA2","FIN1","STAT0"
"AGE1","GENDER0","INC2","POL2","AREA2","FIN2","STAT0"
"AGE1","GENDER0","INC3","POL1","AREA1","FIN3","STAT0"
"AGE2","GENDER0",NA,"POL2","AREA3","FIN2","STAT0"
"AGE3","GENDER0",NA,"POL1","AREA3","FIN2","STAT1"
"AGE2","GENDER0","INC2","POL1","AREA2","FIN3","STAT0"
"AGE1","GENDER0","INC2","POL2","AREA1","FIN1","STAT0"
"AGE1","GENDER0","INC3","POL3","AREA2","FIN2","STAT1"
"AGE2","GENDER0","INC3","POL3","AREA2","FIN3","STAT0"
"AGE2","GENDER0","INC3","POL1","AREA3","FIN3","STAT0"
"AGE1","GENDER1","INC1","POL1","AREA3","FIN3","STAT1"
"AGE1","GENDER1","INC2","POL3","AREA3","FIN3","STAT0"
"AGE3","GENDER0","INC3","POL2","AREA3","FIN1","STAT0"
"AGE1","GENDER0","INC1","POL3","AREA1","FIN3","STAT0"
"AGE2","GENDER1","INC3",NA,"AREA2","FIN3","STAT0"
"AGE2","GENDER0","INC1","POL2","AREA3","FIN2","STAT1"
"AGE3","GENDER0","INC2","POL3","AREA2","FIN2","STAT0"
"AGE2","GENDER0","INC1","POL1","AREA1","FIN1","STAT0"
"AGE1","GENDER1","INC1","POL1","AREA1","FIN2","STAT0"
"AGE3","GENDER0","INC1","POL1","AREA2","FIN1","STAT1"
"AGE3","GENDER1",NA,"POL3","AREA2","FIN2",NA
"AGE1","GENDER1","INC1","POL2","AREA2","FIN3","STAT0"
"AGE1","GENDER1","INC2","POL1","AREA3","FIN3","STAT1"
"AGE1","GENDER0","INC2","POL3","AREA2","FIN3","STAT0"
"AGE1","GENDER1","INC1","POL3","AREA1","FIN1","STAT0"
"AGE2","GENDER0","INC2","POL3","AREA3","FIN3","STAT0"
"AGE1","GENDER0","INC3","POL3","AREA2","FIN2","STAT1"
"AGE1","GENDER1","INC1","POL1","AREA1","FIN1","STAT0"
"AGE2","GENDER0","INC2","POL1","AREA1","FIN3","STAT1"
"AGE3","GENDER0","INC2","POL3","AREA1","FIN2","STAT0"
"AGE2","GENDER1",NA,"POL1","AREA3","FIN3",NA
"AGE1","GENDER1","INC1","POL2","AREA3","FIN3",NA
"AGE1","GENDER0","INC3","POL3","AREA2",NA,"STAT1"
"AGE1","GENDER1","INC2","POL3","AREA3","FIN3","STAT1"
"AGE3","GENDER1","INC1","POL3","AREA2","FIN2","STAT0"
"AGE3","GENDER0","INC3","POL3","AREA3","FIN1","STAT1"
"AGE2","GENDER0","INC3","POL3","AREA2","FIN2","STAT0"
